product_id,product_name,category,description
P101,Laptop,Computers,High performance laptop suitable for office work gaming and programming
P102,Smartphone,Mobile Devices,Latest generation smartphone with advanced camera and battery life
P103,Tablet,Mobile Devices,Portable tablet device suitable for reading entertainment and productivity
P104,Smartwatch,Wearables,Smart wearable watch with health tracking and notifications
P105,Headphones,Audio,Wireless headphones with noise cancellation and premium sound quality
P106,Camera,Electronics,Digital camera for photography and video recording
P107,Printer,Office Equipment,High speed printer suitable for office and home usage
P108,Monitor,Computers,Full HD monitor designed for professional and gaming usage
P109,Gaming Console,Gaming,Entertainment gaming console with immersive graphics
P110,Drone,Electronics,Advanced drone equipped with high resolution camera and GPS
